timestamp_ms,target,feedback,error,output,kp,ki,kd,p_term,i_term,d_term,extra1,extra2,status_flags
4276800,0.0,3.722351507135714e-38,-3.722351507135714e-38,0.0,3000.0,0.0,0.0,-1.1167053987792686e-34,0.0,0.0,34.77547836303711,0.0,34
4276908,0.0,3.722351507135714e-38,-3.722351507135714e-38,0.0,3000.0,0.0,0.0,-1.1167053987792686e-34,0.0,-0.0,34.77547836303711,0.0,15
4277016,0.0,3.722351507135714e-38,-3.722351507135714e-38,0.0,3000.0,0.0,0.0,-1.1167053987792686e-34,0.0,0.0,34.77547836303711,0.0,15
4277339,0.22499999403953552,3.722351507135714e-38,0.22499999403953552,3409.875,3000.0,0.0,0.0,675.0,0.0,0.0,34.77547836303711,0.0,15
4277447,0.22499999403953552,0.05149148032069206,0.17350850999355316,3255.400390625,3000.0,0.0,0.0,520.5255126953125,0.0,-0.0,34.78474807739258,0.0,15
4277555,0.22499999403953552,0.11239346861839294,0.11260652542114258,3072.694580078125,3000.0,0.0,0.0,337.819580078125,0.0,-0.0,34.798492431640625,0.0,15
4277663,0.22499999403953552,0.15176965296268463,0.07323034107685089,2954.56591796875,3000.0,0.0,0.0,219.69102478027344,0.0,-0.0,34.811649322509766,0.0,15
4277771,0.22499999403953552,0.1767304688692093,0.04826952517032623,2879.68359375,3000.0,0.0,0.0,144.80857849121094,0.0,-0.0,34.82421875,0.0,15
4277878,0.22499999403953552,0.1911829113960266,0.03381708264350891,2836.326171875,3000.0,0.0,0.0,101.45124816894531,0.0,-0.0,34.83636474609375,0.0,15
4277986,0.22499999403953552,0.19981998205184937,0.025180011987686157,2810.4150390625,3000.0,0.0,0.0,75.5400390625,0.0,-0.0,34.848243713378906,0.0,15
4278094,0.22499999403953552,0.20468221604824066,0.02031777799129486,2795.828369140625,3000.0,0.0,0.0,60.95333480834961,0.0,-0.0,34.85990905761719,0.0,15
4278202,0.22499999403953552,0.2080857902765274,0.016914203763008118,2785.61767578125,3000.0,0.0,0.0,50.742610931396484,0.0,-0.0,34.87157440185547,0.0,15
4278310,0.22499999403953552,0.21135607361793518,0.013643920421600342,2775.806640625,3000.0,0.0,0.0,40.9317626953125,0.0,-0.0,34.883399963378906,0.0,15
4278418,0.22499999403953552,0.21485663950443268,0.010143354535102844,2765.30517578125,3000.0,0.0,0.0,30.430063247680664,0.0,-0.0,34.89533233642578,0.0,15
4278526,0.22499999403953552,0.21639159321784973,0.008608400821685791,2760.7001953125,3000.0,0.0,0.0,25.82520294189453,0.0,-0.0,34.90721130371094,0.0,15
4278633,0.22499999403953552,0.2171701341867447,0.007829859852790833,2758.364501953125,3000.0,0.0,0.0,23.489580154418945,0.0,-0.0,34.919036865234375,0.0,15
4278741,0.22499999403953552,0.2165313959121704,0.008468598127365112,2760.28076171875,3000.0,0.0,0.0,25.405794143676758,0.0,0.0,34.93064880371094,0.0,15
4278849,0.22499999403953552,0.21697206795215607,0.008027926087379456,2758.958740234375,3000.0,0.0,0.0,24.083778381347656,0.0,-0.0,34.942420959472656,0.0,15
4279388,0.22499999403953552,0.22059184312820435,0.004408150911331177,2748.099365234375,3000.0,0.0,0.0,13.22445297241211,0.0,-0.0,35.001869201660156,0.0,15
4279496,0.22499999403953552,0.2207021713256836,0.004297822713851929,2747.7685546875,3000.0,0.0,0.0,12.893467903137207,0.0,-0.0,35.01380157470703,0.0,15
4279604,0.22499999403953552,0.21959568560123444,0.005404308438301086,2751.087890625,3000.0,0.0,0.0,16.21292495727539,0.0,0.0,35.02552032470703,0.0,15
4279712,0.22499999403953552,0.21704557538032532,0.007954418659210205,2758.73828125,3000.0,0.0,0.0,23.863256454467773,0.0,0.0,35.03691864013672,0.0,15
4279820,0.22499999403953552,0.2155536562204361,0.009446337819099426,2763.214111328125,3000.0,0.0,0.0,28.339014053344727,0.0,0.0,35.04826354980469,0.0,15
4279927,0.22499999403953552,0.21421615779399872,0.010783836245536804,2767.2265625,3000.0,0.0,0.0,32.35150909423828,0.0,0.0,35.059661865234375,0.0,15
4280035,0.22499999403953552,0.2135758250951767,0.011424168944358826,2769.1474609375,3000.0,0.0,0.0,34.27250671386719,0.0,0.0,35.07111358642578,0.0,15
4280143,0.22499999403953552,0.2137194573879242,0.011280536651611328,2768.716552734375,3000.0,0.0,0.0,33.841609954833984,0.0,-0.0,35.082672119140625,0.0,15
4280251,0.22499999403953552,0.21441185474395752,0.010588139295578003,2766.639404296875,3000.0,0.0,0.0,31.76441764831543,0.0,-0.0,35.094337463378906,0.0,15
4280359,0.22499999403953552,0.21578431129455566,0.009215682744979858,2762.52197265625,3000.0,0.0,0.0,27.647048950195312,0.0,-0.0,35.106163024902344,0.0,15
4280467,0.22499999403953552,0.21795640885829926,0.007043585181236267,2756.005859375,3000.0,0.0,0.0,21.130756378173828,0.0,-0.0,35.11809539794922,0.0,15
4280575,0.22499999403953552,0.21885736286640167,0.00614263117313385,2753.302978515625,3000.0,0.0,0.0,18.427892684936523,0.0,-0.0,35.130027770996094,0.0,15
4280682,0.22499999403953552,0.2194880247116089,0.005511969327926636,2751.410888671875,3000.0,0.0,0.0,16.535907745361328,0.0,-0.0,35.14196014404297,0.0,15
4280790,0.22499999403953552,0.2181539237499237,0.006846070289611816,2755.413330078125,3000.0,0.0,0.0,20.538211822509766,0.0,0.0,35.15357208251953,0.0,15
4280898,0.22499999403953552,0.21781191229820251,0.007188081741333008,2756.439208984375,3000.0,0.0,0.0,21.564245223999023,0.0,0.0,35.16529083251953,0.0,15
4281006,0.22499999403953552,0.21786843240261078,0.007131561636924744,2756.269775390625,3000.0,0.0,0.0,21.394685745239258,0.0,-0.0,35.17706298828125,0.0,15
4281114,0.22499999403953552,0.2185192108154297,0.006480783224105835,2754.3173828125,3000.0,0.0,0.0,19.442350387573242,0.0,-0.0,35.18883514404297,0.0,15
4281222,0.22499999403953552,0.218955397605896,0.006044596433639526,2753.0087890625,3000.0,0.0,0.0,18.1337890625,0.0,-0.0,35.200714111328125,0.0,15
