timestamp_ms,target,feedback,error,output,kp,ki,kd,p_term,i_term,d_term,extra1,extra2,status_flags
575772,0.0,-3.4966530515373944e-38,3.4966530515373944e-38,0.0,300.0,50.0,0.0,1.0489959053718694e-35,0.19882789254188538,0.0,6.429598808288574,0.0,34
575881,0.0,-3.4966530515373944e-38,3.4966530515373944e-38,9.941394805908203,300.0,50.0,0.0,1.0489959053718694e-35,9.941394805908203,0.0,6.429598808288574,0.0,15
575989,0.0,-3.4966530515373944e-38,3.4966530515373944e-38,9.941394805908203,300.0,50.0,0.0,1.0489959053718694e-35,9.941394805908203,0.0,6.429598808288574,0.0,15
576098,0.0,-3.4966530515373944e-38,3.4966530515373944e-38,9.941394805908203,300.0,50.0,0.0,1.0489959053718694e-35,9.941394805908203,0.0,6.429598808288574,0.0,15
576206,0.0,-3.4966530515373944e-38,3.4966530515373944e-38,9.941394805908203,300.0,50.0,0.0,1.0489959053718694e-35,9.941394805908203,0.0,6.429598808288574,0.0,15
576315,0.0,-3.4966530515373944e-38,3.4966530515373944e-38,9.941394805908203,300.0,50.0,0.0,1.0489959053718694e-35,9.941394805908203,0.0,6.429598808288574,0.0,15
576423,0.0,-3.4966530515373944e-38,3.4966530515373944e-38,9.941394805908203,300.0,50.0,0.0,1.0489959053718694e-35,9.941394805908203,0.0,6.429598808288574,0.0,15
576531,0.0,-3.4966530515373944e-38,3.4966530515373944e-38,9.941394805908203,300.0,50.0,0.0,1.0489959053718694e-35,9.941394805908203,0.0,6.429598808288574,0.0,15
576640,0.22499999403953552,-3.4966530515373944e-38,0.22499999403953552,2350.00390625,300.0,50.0,0.0,67.5,10.503894805908203,0.0,6.429598808288574,0.0,15
576748,0.22499999403953552,0.04261363670229912,0.1823863536119461,2337.67578125,300.0,50.0,0.0,54.715904235839844,10.959860801696777,-0.0,6.43726921081543,0.0,15
576857,0.22499999403953552,0.09552556276321411,0.1294744312763214,2322.1259765625,300.0,50.0,0.0,38.84233093261719,11.283546447753906,-0.0,6.449094295501709,0.0,15
576965,0.22499999403953552,0.13372047245502472,0.0912795215845108,2310.8955078125,300.0,50.0,0.0,27.38385581970215,11.51174545288086,-0.0,6.461239337921143,0.0,15
577073,0.22499999403953552,0.16077999770641327,0.06421999633312225,2302.938232421875,300.0,50.0,0.0,19.26599884033203,11.672295570373535,-0.0,6.473330974578857,0.0,15
577182,0.22499999403953552,0.17910537123680115,0.045894622802734375,2297.555419921875,300.0,50.0,0.0,13.768386840820312,11.787032127380371,-0.0,6.485422611236572,0.0,15
577290,0.22499999403953552,0.19195756316184998,0.03304243087768555,2293.782470703125,300.0,50.0,0.0,9.912729263305664,11.869638442993164,-0.0,6.497407913208008,0.0,15
577399,0.22499999403953552,0.20095409452915192,0.024045899510383606,2291.1435546875,300.0,50.0,0.0,7.213769912719727,11.929753303527832,-0.0,6.509393215179443,0.0,15
577507,0.22499999403953552,0.20605438947677612,0.0189456045627594,2289.660888671875,300.0,50.0,0.0,5.683681488037109,11.977117538452148,-0.0,6.521271705627441,0.0,15
577615,0.22499999403953552,0.2102300226688385,0.014769971370697021,2288.445068359375,300.0,50.0,0.0,4.430991172790527,12.014042854309082,-0.0,6.5331501960754395,0.0,15
577724,0.22499999403953552,0.2128407508134842,0.01215924322605133,2287.692138671875,300.0,50.0,0.0,3.647773027420044,12.044441223144531,-0.0,6.545082092285156,0.0,15
577832,0.22499999403953552,0.21527640521526337,0.009723588824272156,2286.98583984375,300.0,50.0,0.0,2.917076587677002,12.068750381469727,-0.0,6.557013988494873,0.0,15
577941,0.22499999403953552,0.21698136627674103,0.008018627762794495,2286.494384765625,300.0,50.0,0.0,2.405588388442993,12.088796615600586,-0.0,6.56894588470459,0.0,15
578049,0.22499999403953552,0.2178598940372467,0.007140100002288818,2286.248779296875,300.0,50.0,0.0,2.1420300006866455,12.106646537780762,-0.0,6.580931186676025,0.0,15
578157,0.22499999403953552,0.2190857231616974,0.005914270877838135,2285.895751953125,300.0,50.0,0.0,1.7742812633514404,12.121432304382324,-0.0,6.592916488647461,0.0,15
578266,0.22499999403953552,0.21903973817825317,0.005960255861282349,2285.92431640625,300.0,50.0,0.0,1.7880767583847046,12.136332511901855,0.0,6.604848384857178,0.0,15
578374,0.22499999403953552,0.21961569786071777,0.005384296178817749,2285.76513671875,300.0,50.0,0.0,1.6152888536453247,12.14979362487793,-0.0,6.6167802810668945,0.0,15
578482,0.22499999403953552,0.22001886367797852,0.004981130361557007,2285.656494140625,300.0,50.0,0.0,1.494339108467102,12.162246704101562,-0.0,6.628712177276611,0.0,15
578591,0.22499999403953552,0.21939972043037415,0.005600273609161377,2285.8564453125,300.0,50.0,0.0,1.680082082748413,12.176246643066406,0.0,6.640590667724609,0.0,15
578699,0.22499999403953552,0.21957175433635712,0.005428239703178406,2285.818359375,300.0,50.0,0.0,1.628471851348877,12.189817428588867,-0.0,6.652469158172607,0.0,15
578808,0.22499999403953552,0.21998810768127441,0.005011886358261108,2285.705810546875,300.0,50.0,0.0,1.5035659074783325,12.202346801757812,-0.0,6.664401054382324,0.0,15
578916,0.22499999403953552,0.21967139840126038,0.0053285956382751465,2285.814208984375,300.0,50.0,0.0,1.598578691482544,12.215668678283691,0.0,6.676332950592041,0.0,15
579024,0.22499999403953552,0.22005786001682281,0.0049421340227127075,2285.710693359375,300.0,50.0,0.0,1.482640266418457,12.228023529052734,-0.0,6.688264846801758,0.0,15
579133,0.22499999403953552,0.22001343965530396,0.004986554384231567,2285.736572265625,300.0,50.0,0.0,1.4959663152694702,12.240489959716797,0.0,6.700250148773193,0.0,15
579241,0.22499999403953552,0.22029727697372437,0.004702717065811157,2285.6630859375,300.0,50.0,0.0,1.4108151197433472,12.252246856689453,-0.0,6.71218204498291,0.0,15
579350,0.22499999403953552,0.22049596905708313,0.004504024982452393,2285.61474609375,300.0,50.0,0.0,1.3512074947357178,12.263507843017578,-0.0,6.724113941192627,0.0,15
579458,0.22499999403953552,0.21973370015621185,0.005266293883323669,2285.8564453125,300.0,50.0,0.0,1.579888105392456,12.276673316955566,0.0,6.735992431640625,0.0,15
579566,0.22499999403953552,0.2198055386543274,0.00519445538520813,2285.847900390625,300.0,50.0,0.0,1.558336615562439,12.28965950012207,-0.0,6.747870922088623,0.0,15
579675,0.22499999403953552,0.2192503958940506,0.005749598145484924,2286.02880859375,300.0,50.0,0.0,1.724879503250122,12.304033279418945,0.0,6.759749412536621,0.0,15
579783,0.22499999403953552,0.21946722269058228,0.005532771348953247,2285.977783203125,300.0,50.0,0.0,1.6598314046859741,12.317865371704102,-0.0,6.771627902984619,0.0,15
579891,0.22499999403953552,0.21991492807865143,0.005085065960884094,2285.856201171875,300.0,50.0,0.0,1.525519847869873,12.330577850341797,-0.0,6.783559799194336,0.0,15
580000,0.22499999403953552,0.21991339325904846,0.0050866007804870605,2285.869384765625,300.0,50.0,0.0,1.5259802341461182,12.343295097351074,0.0,6.7955451011657715,0.0,15
580108,0.22499999403953552,0.22022725641727448,0.004772737622261047,2285.787109375,300.0,50.0,0.0,1.431821346282959,12.35522747039795,-0.0,6.807476997375488,0.0,15
580217,0.22499999403953552,0.2201320230960846,0.004867970943450928,2285.827880859375,300.0,50.0,0.0,1.4603912830352783,12.367396354675293,0.0,6.819462299346924,0.0,15
580325,0.22499999403953552,0.2203802913427353,0.004619702696800232,2285.764892578125,300.0,50.0,0.0,1.3859107494354248,12.378946304321289,-0.0,6.831394195556641,0.0,15
580433,0.22499999403953552,0.22055408358573914,0.004445910453796387,2285.723876953125,300.0,50.0,0.0,1.333773136138916,12.390060424804688,-0.0,6.843326091766357,0.0,15
580542,0.22499999403953552,0.21977438032627106,0.005225613713264465,2285.970703125,300.0,50.0,0.0,1.5676841735839844,12.403124809265137,0.0,6.8552045822143555,0.0,15
